CMN,sesso,cittadinanza,anno,valore
1019,M,I,2019,62
1019,M,I,2020,60
1019,M,T,2018,61
1019,M,T,2019,62
1019,M,T,2020,60
1019,T,I,2018,112
1019,T,I,2019,113
1019,T,I,2020,109
1019,T,S,2018,1
1019,T,S,2019,1
1019,T,S,2020,1
1019,T,T,2018,113
1019,T,T,2019,114
1019,T,T,2020,110
1020,F,I,2018,1475
1020,F,I,2019,1469
1020,F,I,2020,1443
1020,F,S,2018,232
1020,F,S,2019,216
1020,F,S,2020,219
1020,F,T,2018,1707
1020,F,T,2019,1685
1020,F,T,2020,1662
1020,M,I,2018,1305
1020,M,I,2019,1316
1020,M,I,2020,1268
1020,M,S,2018,193
1020,M,S,2019,190
1020,M,S,2020,182
1020,M,T,2018,1498
1020,M,T,2019,1506
1020,M,T,2020,1450
1020,T,I,2018,2780
1020,T,I,2019,2785
1020,T,I,2020,2711
1020,T,S,2018,425
1020,T,S,2019,406
1020,T,S,2020,401
1020,T,T,2018,3205
1020,T,T,2019,3191
1020,T,T,2020,3112
1021,F,I,2018,747
1021,F,I,2019,732
1021,F,I,2020,743
1021,F,S,2018,44
1021,F,S,2019,53
1021,F,S,2020,59
1021,F,T,2018,791
1021,F,T,2019,785
1021,F,T,2020,802
1021,M,I,2018,746
1021,M,I,2019,750
1021,M,I,2020,743
1021,M,S,2018,29
1021,M,S,2019,32
1021,M,S,2020,40
1021,M,T,2018,775
1021,M,T,2019,782
1021,M,T,2020,783
1021,T,I,2018,1493
1021,T,I,2019,1482
1021,T,I,2020,1486
1021,T,S,2018,73
1021,T,S,2019,85
1021,T,S,2020,99
1021,T,T,2018,1566
1021,T,T,2019,1567
1021,T,T,2020,1585
1022,F,I,2018,1379
1022,F,I,2019,1386
1022,F,I,2020,1371
1022,F,S,2018,198
1022,F,S,2019,195
1022,F,S,2020,179
1022,F,T,2018,1577
1022,F,T,2019,1581
1022,F,T,2020,1550
1022,M,I,2018,1403
1022,M,I,2019,1404
1022,M,I,2020,1369
1022,M,S,2018,160
1022,M,S,2019,163
1022,M,S,2020,159
1022,M,T,2018,1563
1022,M,T,2019,1567
1022,M,T,2020,1528
1022,T,I,2018,2782
1022,T,I,2019,2790
1022,T,I,2020,2740
1022,T,S,2018,358
1022,T,S,2019,358
1022,T,S,2020,338
1022,T,T,2018,3140
1022,T,T,2019,3148
1022,T,T,2020,3078
1023,F,I,2018,277
1023,F,I,2019,275
1023,F,I,2020,265
1023,F,S,2018,15
1023,F,S,2019,13
1023,F,S,2020,15
1023,F,T,2018,292
1023,F,T,2019,288
1023,F,T,2020,280
1023,M,I,2018,287
1023,M,I,2019,282
1023,M,I,2020,273
1023,M,S,2018,9
1023,M,S,2019,8
1023,M,S,2020,6
1023,M,T,2018,296
1023,M,T,2019,290
1023,M,T,2020,279
1023,T,I,2018,564
1023,T,I,2019,557
1023,T,I,2020,538
1023,T,S,2018,24
1023,T,S,2019,21
1023,T,S,2020,21
1023,T,T,2018,588
1023,T,T,2019,578
1023,T,T,2020,559
1024,F,I,2018,8686
1024,F,I,2019,8611
1024,F,I,2020,8491
1024,F,S,2018,583
1024,F,S,2019,596
1024,F,S,2020,589
1024,F,T,2018,9269
1024,F,T,2019,9207
1024,F,T,2020,9080
1024,M,I,2018,8168
1024,M,I,2019,8073
1024,M,I,2020,7961
1024,M,S,2018,478
1024,M,S,2019,505
1024,M,S,2020,491
1024,M,T,2018,8646
1024,M,T,2019,8578
1024,M,T,2020,8452
1024,T,I,2018,16854
1024,T,I,2019,16684
1024,T,I,2020,16452
1024,T,S,2018,1061
1024,T,S,2019,1101
1024,T,S,2020,1080
1024,T,T,2018,17915
1024,T,T,2019,17785
1024,T,T,2020,17532
1025,F,I,2018,1550
1025,F,I,2019,1545
1025,F,I,2020,1522
1025,F,S,2018,178
1025,F,S,2019,182
1025,F,S,2020,167
1025,F,T,2018,1728
1025,F,T,2019,1727
1025,F,T,2020,1689
1025,M,I,2018,1538
1025,M,I,2019,1555
1025,M,I,2020,1523
1025,M,S,2018,189
1025,M,S,2019,188
1025,M,S,2020,180
1025,M,T,2018,1727
1025,M,T,2019,1743
1025,M,T,2020,1703
1025,T,I,2018,3088
1025,T,I,2019,3100
1025,T,I,2020,3045
1025,T,S,2018,367
1025,T,S,2019,370
1025,T,S,2020,347
1025,T,T,2018,3455
1025,T,T,2019,3470
1025,T,T,2020,3392
1026,F,I,2018,272
1026,F,I,2019,273
1026,F,I,2020,270
1026,F,S,2018,10
1026,F,S,2019,12
1026,F,S,2020,11
1026,F,T,2018,282
1026,F,T,2019,285
1026,F,T,2020,281
1026,M,I,2018,246
1026,M,I,2019,252
1026,M,I,2020,248
1026,M,S,2018,14
1026,M,S,2019,10
1026,M,S,2020,8
1026,M,T,2018,260
1026,M,T,2019,262
1026,M,T,2020,256
1026,T,I,2018,518
1026,T,I,2019,525
1026,T,I,2020,518
1026,T,S,2018,24
1026,T,S,2019,22
1026,T,S,2020,19
1026,T,T,2018,542
1026,T,T,2019,547
1026,T,T,2020,537
1027,F,I,2018,1001
1027,F,I,2019,981
1027,F,I,2020,968
1027,F,S,2018,67
1027,F,S,2019,64
1027,F,S,2020,67
1027,F,T,2018,1068
1027,F,T,2019,1045
1027,F,T,2020,1035
1027,M,I,2018,1040
1027,M,I,2019,1027
1027,M,I,2020,1001
1027,M,S,2018,55
1027,M,S,2019,59
1027,M,S,2020,61
1027,M,T,2018,1095
1027,M,T,2019,1086
1027,M,T,2020,1062
1027,T,I,2018,2041
1027,T,I,2019,2008
1027,T,I,2020,1969
1027,T,S,2018,122
1027,T,S,2019,123
1027,T,S,2020,128
1027,T,T,2018,2163
1027,T,T,2019,2131
1027,T,T,2020,2097
1028,F,I,2018,5852
1028,F,I,2019,5815
1028,F,I,2020,5771
1028,F,S,2018,277
1028,F,S,2019,296
1028,F,S,2020,276
1028,F,T,2018,6129
1028,F,T,2019,6111
1028,F,T,2020,6047
1028,M,I,2018,5618
1028,M,I,2019,5595
1028,M,I,2020,5535
1028,M,S,2018,190
1028,M,S,2019,201
1028,M,S,2020,191
1028,M,T,2018,5808
1028,M,T,2019,5796
1028,M,T,2020,5726
1028,T,I,2018,11470
1028,T,I,2019,11410
1028,T,I,2020,11306
1028,T,S,2018,467
1028,T,S,2019,497
1028,T,S,2020,467
1028,T,T,2018,11937
1028,T,T,2019,11907
1028,T,T,2020,11773
1029,F,I,2018,257
1029,F,I,2019,252
1029,F,I,2020,257
1029,F,S,2018,33
1029,F,S,2019,36
1029,F,S,2020,35
1029,F,T,2018,290
1029,F,T,2019,288
1029,F,T,2020,292
1029,M,I,2018,254
1029,M,I,2019,252
1029,M,I,2020,258
1029,M,S,2018,39
1029,M,S,2019,48
1029,M,S,2020,42
1029,M,T,2018,293
1029,M,T,2019,300
1029,M,T,2020,300
1029,T,I,2018,511
1029,T,I,2019,504
1029,T,I,2020,515
1029,T,S,2018,72
1029,T,S,2019,84
1029,T,S,2020,77
1029,T,T,2018,583
1029,T,T,2019,588
1029,T,T,2020,592
1030,F,I,2018,1745
1030,F,I,2019,1720
1030,F,I,2020,1723
1030,F,S,2018,151
1030,F,S,2019,155
1030,F,S,2020,152
1030,F,T,2018,1896
1030,F,T,2019,1875
1030,F,T,2020,1875
1030,M,I,2018,1631
1030,M,I,2019,1608
1030,M,I,2020,1610
1030,M,S,2018,104
1030,M,S,2019,113
1030,M,S,2020,105
1030,M,T,2018,1735
1030,M,T,2019,1721
1030,M,T,2020,1715
1030,T,I,2018,3376
1030,T,I,2019,3328
1030,T,I,2020,3333
1030,T,S,2018,255
1030,T,S,2019,268
1030,T,S,2020,257
1030,T,T,2018,3631
1030,T,T,2019,3596
1030,T,T,2020,3590
1031,F,I,2018,371
1031,F,I,2019,376
1031,F,I,2020,369
1031,F,S,2018,40
1031,F,S,2019,38
1031,F,S,2020,35
1031,F,T,2018,411
1031,F,T,2019,414
1031,F,T,2020,404
1031,M,I,2018,337
1031,M,I,2019,341
1031,M,I,2020,339
1031,M,S,2018,34
1031,M,S,2019,35
1031,M,S,2020,29
1031,M,T,2018,371
1031,M,T,2019,376
1031,M,T,2020,368
1031,T,I,2018,708
1031,T,I,2019,717
1031,T,I,2020,708
1031,T,S,2018,74
1031,T,S,2019,73
1031,T,S,2020,64
1031,T,T,2018,782
1031,T,T,2019,790
1031,T,T,2020,772
1032,F,I,2018,1024
1032,F,I,2019,1033
1032,F,I,2020,1028
1032,F,S,2018,72
1032,F,S,2019,66
1032,F,S,2020,64
1032,F,T,2018,1096
1032,F,T,2019,1099
1032,F,T,2020,1092
1032,M,I,2018,1042
1032,M,I,2019,1039
1032,M,I,2020,1043
1032,M,S,2018,59
1032,M,S,2019,59
1032,M,S,2020,52
1032,M,T,2018,1101
1032,M,T,2019,1098
1032,M,T,2020,1095
1032,T,I,2018,2066
1032,T,I,2019,2072
1032,T,I,2020,2071
1032,T,S,2018,131
1032,T,S,2019,125
1032,T,S,2020,116
1032,T,T,2018,2197
1032,T,T,2019,2197
1032,T,T,2020,2187
1033,F,I,2018,1456
1033,F,I,2019,1455
1033,F,I,2020,1437
1033,F,S,2018,102
1033,F,S,2019,94
1033,F,S,2020,102
1033,F,T,2018,1558
1033,F,T,2019,1549
1033,F,T,2020,1539
1033,M,I,2018,1451
1033,M,I,2019,1458
1033,M,I,2020,1445
1033,M,S,2018,97
1033,M,S,2019,88
1033,M,S,2020,90
1033,M,T,2018,1548
1033,M,T,2019,1546
1033,M,T,2020,1535
1033,T,I,2018,2907
1033,T,I,2019,2913
1033,T,I,2020,2882
1033,T,S,2018,199
1033,T,S,2019,182
1033,T,S,2020,192
1033,T,T,2018,3106
1033,T,T,2019,3095
1033,T,T,2020,3074
1034,F,I,2018,4097
1034,F,I,2019,4114
1034,F,I,2020,4217
1034,F,S,2018,265
1034,F,S,2019,264
1034,F,S,2020,248
1034,F,T,2018,4362
1034,F,T,2019,4378
1034,F,T,2020,4465
1034,M,I,2018,4033
1034,M,I,2019,4048
1034,M,I,2020,4124
1034,M,S,2018,186
1034,M,S,2019,212
1034,M,S,2020,209
1034,M,T,2018,4219
1034,M,T,2019,4260
1034,M,T,2020,4333
1034,T,I,2018,8130
1034,T,I,2019,8162
1034,T,I,2020,8341
1034,T,S,2018,451
1034,T,S,2019,476
1034,T,S,2020,457
1034,T,T,2018,8581
1034,T,T,2019,8638
1034,T,T,2020,8798
1035,F,I,2018,2258
1035,F,I,2019,2230
1035,F,I,2020,2208
1035,F,S,2018,100
1035,F,S,2019,108
1035,F,S,2020,96
1035,F,T,2018,2358
1035,F,T,2019,2338
1035,F,T,2020,2304
1035,M,I,2018,2198
1035,M,I,2019,2173
1035,M,I,2020,2184
1035,M,S,2018,73
1035,M,S,2019,82
1035,M,S,2020,76
1035,M,T,2018,2271
1035,M,T,2019,2255
1035,M,T,2020,2260
1035,T,I,2018,4456
1035,T,I,2019,4403
1035,T,I,2020,4392
1035,T,S,2018,173
1035,T,S,2019,190
1035,T,S,2020,172
1035,T,T,2018,4629
1035,T,T,2019,4593
1035,T,T,2020,4564
1036,F,I,2018,199
1036,F,I,2019,198
1036,F,I,2020,206
1036,F,S,2018,3
1036,F,S,2019,13
1036,F,S,2020,4
1036,F,T,2018,202
1036,F,T,2019,211
1036,F,T,2020,210
1036,M,I,2018,189
1036,M,I,2019,186
1036,M,I,2020,189
1036,M,S,2018,2
1036,M,S,2019,4
1036,M,S,2020,3
1036,M,T,2018,191
1036,M,T,2019,190
1036,M,T,2020,192
1036,T,I,2018,388
1036,T,I,2019,384
1036,T,I,2020,395
1036,T,S,2018,5
1036,T,S,2019,17
1036,T,S,2020,7
1036,T,T,2018,393
1036,T,T,2019,401
1036,T,T,2020,402
1037,F,I,2018,194
1037,F,I,2019,200
1037,F,I,2020,200
1037,F,S,2018,14
1037,F,S,2019,12
1037,F,S,2020,15
1037,F,T,2018,208
1037,F,T,2019,212
1037,F,T,2020,215
1037,M,I,2018,215
1037,M,I,2019,219
1037,M,I,2020,225
1037,M,S,2018,10
1037,M,S,2019,9
1037,M,S,2020,9
1037,M,T,2018,225
1037,M,T,2019,228
1037,M,T,2020,234
1037,T,I,2018,409
1037,T,I,2019,419
1037,T,I,2020,425
1037,T,S,2018,24
1037,T,S,2019,21
1037,T,S,2020,24
1037,T,T,2018,433
1037,T,T,2019,440
1037,T,T,2020,449
1038,F,I,2018,4183
1038,F,I,2019,4175
1038,F,I,2020,4135
1038,F,S,2018,174
1038,F,S,2019,167
1038,F,S,2020,166
1038,F,T,2018,4357
1038,F,T,2019,4342
1038,F,T,2020,4301
1038,M,I,2018,4120
1038,M,I,2019,4077
1038,M,I,2020,4018
1038,M,S,2018,171
1038,M,S,2019,159
1038,M,S,2020,156
1038,M,T,2018,4291
1038,M,T,2019,4236
1038,M,T,2020,4174
1038,T,I,2018,8303
1038,T,I,2019,8252
1038,T,I,2020,8153
1038,T,S,2018,345
1038,T,S,2019,326
1038,T,S,2020,322
1038,T,T,2018,8648
1038,T,T,2019,8578
1038,T,T,2020,8475
1039,F,I,2018,706
1039,F,I,2019,689
1039,F,I,2020,697
1039,F,S,2018,42
1039,F,S,2019,49
1039,F,S,2020,40
1039,F,T,2018,748
1039,F,T,2019,738
1039,F,T,2020,737
1039,M,I,2018,702
1039,M,I,2019,700
1039,M,I,2020,709
1039,M,S,2018,53
1039,M,S,2019,44
1039,M,S,2020,36
1039,M,T,2018,755
1039,M,T,2019,744
1039,M,T,2020,745
1039,T,I,2018,1408
1039,T,I,2019,1389
1039,T,I,2020,1406
1039,T,S,2018,95
1039,T,S,2019,93
1039,T,S,2020,76
1039,T,T,2018,1503
1039,T,T,2019,1482
1039,T,T,2020,1482
1040,F,I,2018,731
1040,F,I,2019,723
1040,F,I,2020,714
1040,F,S,2018,33
1040,F,S,2019,33
1040,F,S,2020,29
1040,F,T,2018,764
1040,F,T,2019,756
1040,F,T,2020,743
1040,M,I,2018,724
1040,M,I,2019,720
1040,M,I,2020,715
1040,M,S,2018,38
1040,M,S,2019,34
1040,M,S,2020,29
1040,M,T,2018,762
1040,M,T,2019,754
1040,M,T,2020,744
1040,T,I,2018,1455
1040,T,I,2019,1443
1040,T,I,2020,1429
1040,T,S,2018,71
1040,T,S,2019,67
1040,T,S,2020,58
1040,T,T,2018,1526
1040,T,T,2019,1510
1040,T,T,2020,1487
1041,F,I,2018,647
1041,F,I,2019,659
1041,F,I,2020,652
1041,F,S,2018,32
1041,F,S,2019,30
1041,F,S,2020,22
1041,F,T,2018,679
1041,F,T,2019,689
1041,F,T,2020,674
1041,M,I,2018,632
1041,M,I,2019,631
1041,M,I,2020,624
1041,M,S,2018,34
1041,M,S,2019,35
1041,M,S,2020,31
1041,M,T,2018,666
1041,M,T,2019,666
1041,M,T,2020,655
1041,T,I,2018,1279
1041,T,I,2019,1290
1041,T,I,2020,1276
1041,T,S,2018,66
1041,T,S,2019,65
1041,T,S,2020,53
1041,T,T,2018,1345
1041,T,T,2019,1355
1041,T,T,2020,1329
1042,F,I,2018,569
1042,F,I,2019,559
1042,F,I,2020,561
1042,F,S,2018,27
1042,F,S,2019,29
1042,F,S,2020,30
1042,F,T,2018,596
1042,F,T,2019,588
1042,F,T,2020,591
1042,M,I,2018,518
1042,M,I,2019,514
1042,M,I,2020,512
1042,M,S,2018,25
1042,M,S,2019,24
1042,M,S,2020,31
1042,M,T,2018,543
1042,M,T,2019,538
1042,M,T,2020,543
1042,T,I,2018,1087
1042,T,I,2019,1073
1042,T,I,2020,1073
1042,T,S,2018,52
1042,T,S,2019,53
1042,T,S,2020,61
1042,T,T,2018,1139
1042,T,T,2019,1126
1042,T,T,2020,1134
1043,F,I,2018,724
1043,F,I,2019,730
1043,F,I,2020,736
1043,F,S,2018,60
1043,F,S,2019,60
1043,F,S,2020,52
1043,F,T,2018,784
1043,F,T,2019,790
1043,F,T,2020,788
1043,M,I,2018,781
1043,M,I,2019,781
1043,M,I,2020,787
1043,M,S,2018,56
1043,M,S,2019,52
