CMN,dominio,anno,valore
1158,F,2019,312
1158,PF,2018,718
1158,PF,2019,711
1159,F,2018,422
1159,F,2019,426
1159,PF,2018,959
1159,PF,2019,961
1160,F,2018,1568
1160,F,2019,1571
1160,PF,2018,3362
1160,PF,2019,3355
1161,F,2018,2219
1161,F,2019,2246
1161,PF,2018,5059
1161,PF,2019,5104
1162,F,2018,362
1162,F,2019,362
1162,PF,2018,814
1162,PF,2019,809
1163,F,2018,348
1163,F,2019,353
1163,PF,2018,841
1163,PF,2019,849
1164,F,2018,20452
1164,F,2019,20445
1164,PF,2018,47079
1164,PF,2019,46843
1165,F,2018,84
1165,F,2019,81
1165,PF,2018,116
1165,PF,2019,110
1166,F,2018,2924
1166,F,2019,2927
1166,PF,2018,6823
1166,PF,2019,6803
1167,F,2018,154
1167,F,2019,148
1167,PF,2018,286
1167,PF,2019,288
1168,F,2018,3397
1168,F,2019,3390
1168,PF,2018,8005
1168,PF,2019,7925
1169,F,2018,245
1169,F,2019,242
1169,PF,2018,516
1169,PF,2019,512
1170,F,2018,614
1170,F,2019,616
1170,PF,2018,1481
1170,PF,2019,1455
1171,F,2018,10330
1171,F,2019,10390
1171,PF,2018,23275
1171,PF,2019,23187
1172,F,2018,371
1172,F,2019,369
1172,PF,2018,768
1172,PF,2019,759
1173,F,2018,497
1173,F,2019,496
1173,PF,2018,1140
1173,PF,2019,1161
1174,F,2018,387
1174,F,2019,390
1174,PF,2018,921
1174,PF,2019,912
1175,F,2018,1738
1175,F,2019,1728
1175,PF,2018,3344
1175,PF,2019,3290
1176,F,2018,562
1176,F,2019,564
1176,PF,2018,1207
1176,PF,2019,1181
1177,F,2018,370
1177,F,2019,379
1177,PF,2018,837
1177,PF,2019,851
1178,F,2018,839
1178,F,2019,830
1178,PF,2018,1986
1178,PF,2019,1961
1179,F,2018,210
1179,F,2019,206
1179,PF,2018,428
1179,PF,2019,417
1180,F,2018,475
1180,F,2019,477
1180,PF,2018,1113
1180,PF,2019,1116
1181,F,2018,1739
1181,F,2019,1719
1181,PF,2018,3811
1181,PF,2019,3728
1183,F,2018,1689
1183,F,2019,1696
1183,PF,2018,3916
1183,PF,2019,3966
1184,F,2018,1601
1184,F,2019,1600
1184,PF,2018,3145
1184,PF,2019,3134
1185,F,2018,245
1185,F,2019,242
1185,PF,2018,517
1185,PF,2019,523
1186,F,2018,346
1186,F,2019,339
1186,PF,2018,642
1186,PF,2019,624
1187,F,2018,332
1187,F,2019,324
1187,PF,2018,763
1187,PF,2019,748
1188,F,2018,330
1188,F,2019,334
1188,PF,2018,600
1188,PF,2019,605
1189,F,2018,6373
1189,F,2019,6426
1189,PF,2018,15233
1189,PF,2019,15359
1190,F,2018,1372
1190,F,2019,1371
1190,PF,2018,2865
1190,PF,2019,2848
1191,F,2018,17249
1191,F,2019,17389
1191,PF,2018,35291
1191,PF,2019,35279
1192,F,2018,3722
1192,F,2019,3751
1192,PF,2018,8403
1192,PF,2019,8383
1193,F,2018,1582
1193,F,2019,1593
1193,PF,2018,3828
1193,PF,2019,3860
1194,F,2018,7778
1194,F,2019,7829
1194,PF,2018,18095
1194,PF,2019,18082
1195,F,2018,1453
1195,F,2019,1456
1195,PF,2018,3395
1195,PF,2019,3358
1196,F,2018,599
1196,F,2019,601
1196,PF,2018,1311
1196,PF,2019,1326
1197,F,2018,4344
1197,F,2019,4319
1197,PF,2018,10097
1197,PF,2019,10057
1198,F,2018,509
1198,F,2019,504
1198,PF,2018,1010
1198,PF,2019,984
1199,F,2018,1580
1199,F,2019,1555
1199,PF,2018,3257
1199,PF,2019,3189
1200,F,2018,471
1200,F,2019,488
1200,PF,2018,1013
1200,PF,2019,1036
1201,F,2018,421
1201,F,2019,409
1201,PF,2018,751
1201,PF,2019,749
1202,F,2018,129
1202,F,2019,135
1202,PF,2018,242
1202,PF,2019,250
1203,F,2018,778
1203,F,2019,790
1203,PF,2018,1832
1203,PF,2019,1838
1204,F,2018,120
1204,F,2019,121
1204,PF,2018,225
1204,PF,2019,219
1205,F,2018,567
1205,F,2019,554
1205,PF,2018,1260
1205,PF,2019,1239
1206,F,2018,350
1206,F,2019,341
1206,PF,2018,756
1206,PF,2019,733
1207,F,2018,251
1207,F,2019,240
1207,PF,2018,512
1207,PF,2019,480
1208,F,2018,159
1208,F,2019,158
1208,PF,2018,320
1208,PF,2019,319
1209,F,2018,167
1209,F,2019,171
1209,PF,2018,351
1209,PF,2019,355
1210,F,2018,493
1210,F,2019,478
1210,PF,2018,1032
1210,PF,2019,1034
1211,F,2018,803
1211,F,2019,801
1211,PF,2018,1748
1211,PF,2019,1750
1212,F,2018,42
1212,F,2019,42
1212,PF,2018,49
1212,PF,2019,49
1213,F,2018,497
1213,F,2019,480
1213,PF,2018,1128
1213,PF,2019,1106
1214,F,2018,8430
1214,F,2019,8549
1214,PF,2018,19805
1214,PF,2019,19891
1215,F,2018,1908
1215,F,2019,1924
1215,PF,2018,4704
1215,PF,2019,4725
1216,F,2018,1126
1216,F,2019,1117
1216,PF,2018,2565
1216,PF,2019,2519
1217,F,2018,5563
1217,F,2019,5606
1217,PF,2018,12268
1217,PF,2019,12323
1218,F,2018,657
1218,F,2019,668
1218,PF,2018,1585
1218,PF,2019,1571
1219,F,2018,21730
1219,F,2019,21858
1219,PF,2018,47390
1219,PF,2019,47328
1220,F,2018,1307
1220,F,2019,1319
1220,PF,2018,3073
1220,PF,2019,3053
1221,F,2018,787
1221,F,2019,780
1221,PF,2018,1661
1221,PF,2019,1666
1222,F,2018,867
1222,F,2019,868
1222,PF,2018,2020
1222,PF,2019,2010
1223,F,2018,1195
1223,F,2019,1210
1223,PF,2018,2637
1223,PF,2019,2648
1224,F,2018,183
1224,F,2019,179
1224,PF,2018,280
1224,PF,2019,276
1225,F,2018,811
1225,F,2019,808
1225,PF,2018,1853
1225,PF,2019,1845
1226,F,2018,117
1226,F,2019,119
1226,PF,2018,236
1226,PF,2019,231
1227,F,2018,426
1227,F,2019,422
1227,PF,2018,794
1227,PF,2019,784
1228,F,2018,2046
1228,F,2019,2084
1228,PF,2018,4844
1228,PF,2019,4923
1229,F,2018,1165
1229,F,2019,1175
1229,PF,2018,2350
1229,PF,2019,2351
1230,F,2018,388
1230,F,2019,396
1230,PF,2018,768
1230,PF,2019,773
1231,F,2018,803
1231,F,2019,810
1231,PF,2018,1860
1231,PF,2019,1839
1232,F,2018,275
1232,F,2019,290
1232,PF,2018,597
1232,PF,2019,614
1233,F,2018,210
1233,F,2019,210
1233,PF,2018,468
1233,PF,2019,468
1234,F,2018,45
1234,F,2019,45
1234,PF,2018,77
1234,PF,2019,75
1235,F,2018,721
1235,F,2019,713
1235,PF,2018,1571
1235,PF,2019,1539
1236,F,2018,2476
1236,F,2019,2498
1236,PF,2018,5974
1236,PF,2019,5962
1237,F,2018,1651
1237,F,2019,1639
1237,PF,2018,4020
1237,PF,2019,3971
1238,F,2018,161
1238,F,2019,156
1238,PF,2018,345
1238,PF,2019,339
1239,F,2018,235
1239,F,2019,232
1239,PF,2018,542
1239,PF,2019,528
1240,F,2018,2006
1240,F,2019,2004
1240,PF,2018,4846
1240,PF,2019,4834
1241,F,2018,1536
1241,F,2019,1536
1241,PF,2018,3687
1241,PF,2019,3675
1242,F,2018,830
1242,F,2019,825
1242,PF,2018,1719
1242,PF,2019,1719
1243,F,2018,1263
1243,F,2019,1269
1243,PF,2018,3072
1243,PF,2019,3039
1244,F,2018,1156
1244,F,2019,1169
1244,PF,2018,2495
1244,PF,2019,2499
1245,F,2018,466
1245,F,2019,472
1245,PF,2018,973
1245,PF,2019,975
1246,F,2018,1392
1246,F,2019,1398
1246,PF,2018,3304
1246,PF,2019,3267
1247,F,2018,389
1247,F,2019,381
1247,PF,2018,820
1247,PF,2019,805
1248,F,2018,4341
1248,F,2019,4348
1248,PF,2018,10223
1248,PF,2019,10200
1249,F,2018,8261
1249,F,2019,8264
1249,PF,2018,18525
1249,PF,2019,18434
1250,F,2018,666
1250,F,2019,663
1250,PF,2018,1428
1250,PF,2019,1423
1251,F,2018,113
1251,F,2019,118
1251,PF,2018,253
1251,PF,2019,263
1252,F,2018,1350
1252,F,2019,1363
1252,PF,2018,3122
1252,PF,2019,3094
1253,F,2018,834
1253,F,2019,833
1253,PF,2018,1916
1253,PF,2019,1892
1254,F,2018,1629
1254,F,2019,1637
1254,PF,2018,3595
1254,PF,2019,3626
1255,F,2018,2012
1255,F,2019,2027
1255,PF,2018,4658
1255,PF,2019,4652
1256,F,2018,1896
1256,F,2019,1866
1256,PF,2018,4199
1256,PF,2019,4123
1257,F,2018,4369
1257,F,2019,4408
1257,PF,2018,10558
1257,PF,2019,10543
1258,F,2018,152
1258,F,2019,152
1258,PF,2018,243
1258,PF,2019,241
1259,F,2018,637
1259,F,2019,635
1259,PF,2018,1093
1259,PF,2019,1082
1260,F,2018,1429
1260,F,2019,1431
1260,PF,2018,3275
1260,PF,2019,3263
1261,F,2018,371
1261,F,2019,358
1261,PF,2018,809
1261,PF,2019,796
1262,F,2018,689
1262,F,2019,685
1262,PF,2018,1464
1262,PF,2019,1453
1263,F,2018,531
1263,F,2019,524
1263,PF,2018,936
1263,PF,2019,921
1264,F,2018,228
1264,F,2019,222
1264,PF,2018,464
1264,PF,2019,466
1265,F,2018,20580
1265,F,2019,20650
1265,PF,2018,46838
1265,PF,2019,46706
1266,F,2018,715
1266,F,2019,725
1266,PF,2018,1503
1266,PF,2019,1521
1267,F,2018,478
1267,F,2019,476
1267,PF,2018,938
1267,PF,2019,941
1268,F,2018,123
1268,F,2019,125
1268,PF,2018,268
1268,PF,2019,269
1269,F,2018,2864
1269,F,2019,2858
1269,PF,2018,6213
1269,PF,2019,6119
1270,F,2018,2713
1270,F,2019,2711
1270,PF,2018,6091
1270,PF,2019,5998
1271,F,2018,371
1271,F,2019,356
1271,PF,2018,787
1271,PF,2019,764
1272,F,2018,426973
1272,F,2019,428673
1272,PF,2018,851359
1272,PF,2019,848533
1273,F,2018,1273
1273,F,2019,1284
1273,PF,2018,2919
1273,PF,2019,2944
1274,F,2018,268
1274,F,2019,272
1274,PF,2018,574
1274,PF,2019,576
1275,F,2018,2338
1275,F,2019,2317
1275,PF,2018,4435
1275,PF,2019,4391
1276,F,2018,1665
1276,F,2019,1665
1276,PF,2018,3826
1276,PF,2019,3784
1278,F,2018,189
1278,F,2019,183
1278,PF,2018,320
1278,PF,2019,323
1279,F,2018,291
1279,F,2019,292
1279,PF,2018,527
1279,PF,2019,528
1280,F,2018,4657
1280,F,2019,4689
1280,PF,2018,10721
1280,PF,2019,10742
1281,F,2018,114
1281,F,2019,112
1281,PF,2018,187
1281,PF,2019,189
1282,F,2018,115
1282,F,2019,120
1282,PF,2018,197
1282,PF,2019,200
1283,F,2018,619
1283,F,2019,616
1283,PF,2018,1405
1283,PF,2019,1408
1284,F,2018,1785
1284,F,2019,1811
1284,PF,2018,3901
1284,PF,2019,3933
1285,F,2018,439
1285,F,2019,448
1285,PF,2018,899
1285,PF,2019,908
1286,F,2018,357
1286,F,2019,366
1286,PF,2018,776
1286,PF,2019,783
1287,F,2018,1333
1287,F,2019,1342
1287,PF,2018,2985
1287,PF,2019,2982
1288,F,2018,72
1288,F,2019,68
1288,PF,2018,100
1288,PF,2019,95
1289,F,2018,361
1289,F,2019,364
1289,PF,2018,813
1289,PF,2019,832
1290,F,2018,617
1290,F,2019,624
1290,PF,2018,1450
1290,PF,2019,1455
1291,F,2018,416
1291,F,2019,417
1291,PF,2018,885
1291,PF,2019,881
1292,F,2018,14805
1292,F,2019,14824
1292,PF,2018,33356
1292,PF,2019,32992
1293,F,2018,2121
1293,F,2019,2136
1293,PF,2018,4821
1293,PF,2019,4815
1294,F,2018,620
1294,F,2019,619
1294,PF,2018,1334
1294,PF,2019,1322
1295,F,2018,380
1295,F,2019,372
1295,PF,2018,780
1295,PF,2019,776
1296,F,2018,116
1296,F,2019,120
1296,PF,2018,240
1296,PF,2019,247
1298,F,2018,312
1298,F,2019,313
1298,PF,2018,522
1298,PF,2019,510
1299,F,2018,2230
1299,F,2019,2236
1299,PF,2018,5132
1299,PF,2019,5109
1300,F,2018,2018
1300,F,2019,2034
1300,PF,2018,4582
1300,PF,2019,4568
1301,F,2018,530
1301,F,2019,538
1301,PF,2018,1215
1301,PF,2019,1213
1302,F,2018,1503
1302,F,2019,1518
1302,PF,2018,3492
1302,PF,2019,3500
1303,F,2018,1251
1303,F,2019,1268
1303,PF,2018,2863
1303,PF,2019,2815
1304,F,2018,471
1304,F,2019,473
1304,PF,2018,997
1304,PF,2019,997
1305,F,2018,936
1305,F,2019,940
1305,PF,2018,1958
1305,PF,2019,1939
1306,F,2018,532
1306,F,2019,524
1306,PF,2018,1064
1306,PF,2019,1048
1307,F,2018,1868
1307,F,2019,1868
1307,PF,2018,4009
1307,PF,2019,3967
1308,F,2018,2009
1308,F,2019,2008
1308,PF,2018,4608
1308,PF,2019,4589
1309,F,2018,6354
1309,F,2019,6446
1309,PF,2018,14916
1309,PF,2019,15009
1310,F,2018,496
1310,F,2019,487
1310,PF,2018,1153
1310,PF,2019,1131
1311,F,2018,582
1311,F,2019,566
1311,PF,2018,1233
1311,PF,2019,1189
1312,F,2018,270
1312,F,2019,258
1312,PF,2018,532
1312,PF,2019,519
1313,F,2018,521
1313,F,2019,528
1313,PF,2018,1018
1313,PF,2019,1021
1314,F,2018,6322
1314,F,2019,6384
1314,PF,2018,15230
1314,PF,2019,15193
1315,F,2018,3408
1315,F,2019,3428
1315,PF,2018,8588
1315,PF,2019,8523
1316,F,2018,2939
1316,F,2019,2968
1316,PF,2018,7294
1316,PF,2019,7361
1317,F,2019,654
1317,PF,2019,1257
1318,F,2019,554
1318,PF,2019,1006
2002,F,2018,398
2002,F,2019,396
2002,PF,2018,709
2002,PF,2019,729
2003,F,2018,141
2003,F,2019,148
2003,PF,2018,281
2003,PF,2019,290
2004,F,2018,1073
2004,F,2019,1073
2004,PF,2018,2500
2004,PF,2019,2475
2006,F,2018,414
2006,F,2019,418
2006,PF,2018,847
2006,PF,2019,850
2007,F,2018,631
2007,F,2019,624
